#Acc_x;Acc_z;Elongation Droit;Elongation gauche;Gyro_x;Gyro_z;PressionPiedDArriereD;PressionPiedDArriereG;PressionPiedDAvantD;PressionPiedDAvantG;PressionPiedGArriereD;PressionPiedGArriereG;PressionPiedGAvantD;PressionPiedGAvantG
1499;1519;553;798;1792;1803;3036;2096;70;2149;3044;2445;1041;2850
1501;1514;553;798;1790;1805;3037;2105;70;2155;3044;2459;1041;2857
1503;1521;553;798;1790;1803;3037;2058;73;2149;3044;2466;1041;2856
1503;1521;553;798;1790;1803;3037;2058;73;2149;3044;2466;1041;2856
1499;1516;553;798;1788;1807;3037;2143;74;2151;3041;2475;1041;2854
1497;1521;553;798;1792;1801;3037;2154;70;2150;3044;2481;1041;2851
1495;1518;554;798;1792;1802;3037;2191;72;2117;3043;2495;1041;2850
1494;1520;553;798;1792;1801;3037;2206;70;2126;3044;2498;1041;2853
1500;1517;553;798;1790;1805;3038;2217;73;2125;3044;2493;1041;2853
1495;1520;552;798;1790;1802;3038;2218;72;2125;3044;2492;1041;2854
1498;1516;553;798;1790;1804;3037;2204;71;2120;3044;2490;1041;2854
1499;1515;552;797;1790;1811;3033;2164;73;2121;3040;2490;1040;2851
1499;1514;552;797;1793;1811;3031;2173;69;2118;3040;2487;1041;2849
1497;1517;552;798;1794;1807;3034;2164;74;2122;3040;2483;1041;2852
1495;1517;552;797;1791;1804;3034;2161;69;2125;3041;2485;1041;2855
1498;1514;551;798;1791;1808;3034;2154;71;2126;3041;2478;1041;2853
1498;1513;552;797;1795;1808;3035;2159;73;2126;3041;2476;1041;2858
1499;1517;552;798;1792;1803;3035;2156;71;2120;3042;2482;1040;2856
1499;1517;551;798;1792;1806;3034;2156;75;2118;3043;2472;1041;2856
1500;1516;551;797;1794;1807;3033;2166;70;2121;3043;2477;1041;2855
